******** File Generated by Toolkit.Premium coded by © Bigman - a.k.a Daniel Raban ********
~~~~~~~~ This file is best viewed in Microsoft Office Excel ~~~~~~~~
	LineIndex	ID	Unk1	Cat	Index	Rank	Opt. Num	Unk2	Opt. Rate	RON	Opt. Value 0	Opt. Value 1	Opt. Value 2	Opt. Value 3	Opt. Value 4	Opt. Value 5	Opt. Value 6	Opt. Value 7	Opt. Value 8	Opt. Value 9	Opt. Value 10	Opt. Rate 0	Opt. Rate 1	Opt. Rate 2	Opt. Rate 3	Opt. Rate 4	Opt. Rate 5	Opt. Rate 6	Opt. Rate 7	Opt. Rate 8	Opt. Rate 9	Opt. Rate 10	Name	Opt. Type
	15	62	6375	12	231	2	3	0	2000	213	5	6	7	8	9	10	12	14	16	18	20	0	9000	8000	7000	7000	6000	6000	6000	5000	5000	5000	+%d%% Defense Against Earth Element	1
	16	63	6375	12	231	2	4	0	2000	214	5	6	7	8	9	10	12	14	16	18	20	0	9000	8000	7000	7000	6000	6000	6000	5000	5000	5000	+%d%% Defense Against Wind Element	1
	17	64	6375	12	231	2	5	0	2000	215	5	6	7	8	9	10	12	14	16	18	20	0	9000	8000	7000	7000	6000	6000	6000	5000	5000	5000	+%d%% Defense Against Dark Element	1
	18	70	6375	12	231	3	1	0	5000	221	10	13	17	22	28	35	43	52	62	73	85	0	9000	8000	7000	7000	6000	6000	6000	5000	5000	5000	Elemental Defense (in PvP) +%d	0
	19	71	6375	12	231	3	2	0	5000	222	10	13	17	22	28	35	43	52	62	73	85	0	9000	8000	7000	7000	6000	6000	6000	5000	5000	5000	Elemental Defense (in Raids) +%d	0
	20	80	6375	12	231	4	1	0	5000	231	10	13	17	22	28	35	43	52	62	73	85	0	9000	8000	7000	7000	6000	6000	6000	5000	5000	5000	Ranged Elemental Defense (in PvP) +%d	0
	21	81	6375	12	231	4	2	0	5000	232	10	13	17	22	28	35	43	52	62	73	85	0	9000	8000	7000	7000	6000	6000	6000	5000	5000	5000	Melee Elemental Defense (in PvP) +%d	0
	22	90	6375	12	231	5	1	0	5000	241	5	6	7	8	9	10	12	14	16	18	20	0	9000	8000	7000	7000	6000	6000	6000	5000	5000	5000	Elemental Dmg (in PvP) -%d%%	1
	23	91	6375	12	231	5	2	0	5000	242	5	6	7	8	9	10	12	14	16	18	20	0	9000	8000	7000	7000	6000	6000	6000	5000	5000	5000	Elemental Dmg (in Raids) -%d%%	1
	24	100	6385	12	241	1	1	0	10000	301	5	6	7	8	9	10	12	14	16	18	20	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	Elemental Attack Success Rate +%d%%	1
	25	110	6385	12	241	2	1	0	2000	311	5	6	7	8	9	10	12	14	16	18	20	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	+%d%% Attack Against Fire Element	1
	26	111	6385	12	241	2	2	0	2000	312	5	6	7	8	9	10	12	14	16	18	20	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	+%d%% Attack Against Water Element	1
	27	112	6385	12	241	2	3	0	2000	313	5	6	7	8	9	10	12	14	16	18	20	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	+%d%% Attack Against Earth Element	1
	28	113	6385	12	241	2	4	0	2000	314	5	6	7	8	9	10	12	14	16	18	20	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	+%d%% Attack Against Wind Element	1
	29	114	6385	12	241	2	5	0	2000	315	5	6	7	8	9	10	12	14	16	18	20	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	+%d%% Attack Against Dark Element	1
	30	120	6385	12	241	3	1	0	5000	321	30	35	43	54	66	80	97	117	142	172	207	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	Elemental Attack Dmg (in PvP) +%d	0
	31	121	6385	12	241	3	2	0	5000	322	30	35	43	54	66	80	97	117	142	172	207	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	Elemental Attack Dmg (in Raids) +%d	0
	32	130	6385	12	241	4	1	0	5000	331	30	35	43	54	66	80	97	117	142	172	207	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	Ranged Elemental Attack Dmg (in PvP) +%d	0
	33	131	6385	12	241	4	2	0	5000	332	30	35	43	54	66	80	97	117	142	172	207	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	Melee Elemental Attack Dmg (in PvP) +%d	0
	34	140	6385	12	241	5	1	0	5000	341	5	7	9	11	13	15	18	21	24	27	30	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	Elemental Damage (in PvP) +%d%%	1
	35	141	6385	12	241	5	2	0	5000	342	5	7	9	11	13	15	18	21	24	27	30	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	Elemental Damage (in Raids) +%d%%	1
	36	150	6395	12	251	1	1	0	10000	401	5	6	7	8	9	10	12	14	16	18	20	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	Elemental Defense Success Rate +%d%%	1
	37	160	6395	12	251	2	1	0	2000	411	5	6	7	8	9	10	12	14	16	18	20	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	+%d%% Defense Against Fire Element	1
	38	161	6395	12	251	2	2	0	2000	412	5	6	7	8	9	10	12	14	16	18	20	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	+%d%% Defense Against Water Element	1
	39	162	6395	12	251	2	3	0	2000	413	5	6	7	8	9	10	12	14	16	18	20	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	+%d%% Defense Against Earth Element	1
	40	163	6395	12	251	2	4	0	2000	414	5	6	7	8	9	10	12	14	16	18	20	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	+%d%% Defense Against Wind Element	1
	41	164	6395	12	251	2	5	0	2000	415	5	6	7	8	9	10	12	14	16	18	20	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	+%d%% Defense Against Dark Element	1
	42	170	6395	12	251	3	1	0	5000	421	10	13	17	22	28	35	43	52	62	73	85	0	9000	8000	7000	7000	6000	6000	6000	5000	5000	4000	Elemental Defense (in PvP) +%d	0
	43	171	6395	12	251	3	2	0	5000	422	10	13	17	22	28	35	43	52	62	73	85	0	9000	8000	7000	7000	6000	6000	6000	5000	5000	4000	Elemental Defense (in Raids) +%d	0
	44	180	6395	12	251	4	1	0	5000	431	10	13	17	22	28	35	43	52	62	73	85	0	9000	8000	7000	7000	6000	6000	6000	5000	5000	4000	Ranged Elemental Defense (in PvP) +%d	0
	45	181	6395	12	251	4	2	0	5000	432	10	13	17	22	28	35	43	52	62	73	85	0	9000	8000	7000	7000	6000	6000	6000	5000	5000	4000	Melee Elemental Defense (in PvP) +%d	0
	46	190	6395	12	251	5	1	0	5000	441	5	7	9	11	13	15	18	21	24	27	30	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	Elemental Damage Absorb (in PvP) %d%%	1
	47	191	6395	12	251	5	2	0	5000	442	5	7	9	11	13	15	18	21	24	27	30	0	8000	8000	7000	7000	6000	6000	5000	5000	4000	4000	Elemental Damage Absorb (in Raids) %d%%	1
	48	200	6405	12	261	1	1	0	10000	501	1	2	3	4	5	6	7	8	10	12	15	0	7000	7000	6000	6000	5000	5000	4000	4000	3000	3000	Elemental Debuff Success Rate +%d%%	1
	49	210	6405	12	261	2	1	0	2500	511	10	15	20	25	30	35	40	45	50	55	60	0	7000	7000	6000	6000	5000	5000	4000	4000	3000	3000	Strength +%d	0
	50	211	6405	12	261	2	2	0	2500	512	10	15	20	25	30	35	40	45	50	55	60	0	7000	7000	6000	6000	5000	5000	4000	4000	3000	3000	Agility +%d	0
	51	212	6405	12	261	2	3	0	2500	513	10	15	20	25	30	35	40	45	50	55	60	0	7000	7000	6000	6000	5000	5000	4000	4000	3000	3000	Energy +%d	0
	52	213	6405	12	261	2	4	0	2500	514	10	15	20	25	30	35	40	45	50	55	60	0	7000	7000	6000	6000	5000	5000	4000	4000	3000	3000	Stamina +%d	0
	53	220	6405	12	261	3	1	0	2500	521	20	25	30	35	40	50	60	70	80	90	100	0	7000	7000	6000	6000	5000	5000	4000	4000	3000	3000	Maximum HP +%d	0
	54	221	6405	12	261	3	2	0	2500	522	20	25	30	35	40	50	60	70	80	90	100	0	7000	7000	6000	6000	5000	5000	4000	4000	3000	3000	Maximum Mana +%d	0
	55	222	6405	12	261	3	3	0	2500	523	20	25	30	35	40	50	60	70	80	90	100	0	7000	7000	6000	6000	5000	5000	4000	4000	3000	3000	Maximum AG +%d	0
	56	223	6405	12	261	3	4	0	2500	524	500	550	600	650	700	750	800	850	900	950	1000	0	7000	7000	6000	6000	5000	5000	4000	4000	3000	3000	Maximum SP +%d	0
	57	230	6405	12	261	4	1	0	5000	531	5	6	7	8	9	10	12	14	16	18	20	0	7000	7000	6000	6000	5000	5000	4000	4000	3000	3000	Elemental Attack Excellent Rate (in PvP) +%d%%	1
	58	231	6405	12	261	4	2	0	5000	532	5	6	7	8	9	10	12	14	16	18	20	0	7000	7000	6000	6000	5000	5000	4000	4000	3000	3000	Elemental Attack Excellent Rate (in Raids) +%d%%	1
	59	240	6405	12	261	5	1	0	10000	541	1	2	3	4	5	6	7	8	10	12	15	0	7000	7000	6000	6000	5000	5000	4000	4000	3000	3000	Additional Elemental Occurence Chance +%d%%	1
