******** File Generated by Toolkit.Premium coded by © Bigman - a.k.a Daniel Raban ********
~~~~~~~~ This file is best viewed in Microsoft Office Excel ~~~~~~~~
	LineIndex	ID	Unk1	Cat	Index	Rank	Opt. Num	Unk2	Opt. Rate	RON	Opt. Value 0	Opt. Value 1	Opt. Value 2	Opt. Value 3	Opt. Value 4	Opt. Value 5	Opt. Value 6	Opt. Value 7	Opt. Value 8	Opt. Value 9	Opt. Value 10	Opt. Rate 0	Opt. Rate 1	Opt. Rate 2	Opt. Rate 3	Opt. Rate 4	Opt. Rate 5	Opt. Rate 6	Opt. Rate 7	Opt. Rate 8	Opt. Rate 9	Opt. Rate 10	Name	Opt. Type
	14	62	6375	12	231	2	3	0	2000	213	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Defense Against Earth Element	1
	15	63	6375	12	231	2	4	0	2000	214	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Defense Against Wind Element	1
	16	64	6375	12	231	2	5	0	2000	215	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Defense Against Dark Element	1
	17	70	6375	12	231	3	1	0	5000	221	10	13	17	22	28	35	43	52	62	73	85	0	8000	7500	7000	6500	6000	5500	5000	4500	4000	4000	Elemental Defense (in PvP) +%d	0
	18	71	6375	12	231	3	2	0	5000	222	10	13	17	22	28	35	43	52	62	73	85	0	8000	7500	7000	6500	6000	5500	5000	4500	4000	4000	Elemental Defense (in Raids) +%d	0
	19	80	6375	12	231	4	1	0	5000	233	5	6	7	8	10	12	14	17	20	23	27	0	7500	7000	6500	6000	5500	5000	4500	4000	3500	3500	Elemental Damage Absorb (in Raids) +%d%%	1
	20	81	6375	12	231	4	2	0	5000	234	5	6	7	8	10	12	14	17	20	23	27	0	7500	7000	6500	6000	5500	5000	4500	4000	3500	3500	Elemental Damage Absorb (in PVP) +%d%%	1
	21	90	6375	12	231	5	1	0	10000	243	3	4	5	6	8	10	12	15	18	21	25	0	7000	6500	6000	5500	5000	4500	4000	3500	3000	3000	Elemental Damage Absorb +%d%%	1
	22	100	6385	12	241	1	1	0	10000	301	5	6	7	8	9	10	12	14	16	18	20	0	9000	8500	8000	7500	7000	6500	6000	5500	5000	5000	Elemental Attack Success Rate +%d%%	1
	23	110	6385	12	241	2	1	0	2000	311	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Attack Against Fire Element	1
	24	111	6385	12	241	2	2	0	2000	312	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Attack Against Water Element	1
	25	112	6385	12	241	2	3	0	2000	313	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Attack Against Earth Element	1
	26	113	6385	12	241	2	4	0	2000	314	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Attack Against Wind Element	1
	27	114	6385	12	241	2	5	0	2000	315	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Attack Against Dark Element	1
	28	120	6385	12	241	3	1	0	5000	321	30	35	43	54	66	80	97	117	142	172	207	0	8000	7500	7000	6500	6000	5500	5000	4500	4000	4000	Elemental Attack Dmg (in PvP) +%d	0
	29	121	6385	12	241	3	2	0	5000	322	30	35	43	54	66	80	97	117	142	172	207	0	8000	7500	7000	6500	6000	5500	5000	4500	4000	4000	Elemental Attack Dmg (in Raids) +%d	0
	30	130	6385	12	241	4	1	0	5000	333	270	300	330	360	410	460	510	570	630	690	800	0	7500	7000	6500	6000	5500	5000	4500	4000	3500	3500	Elemental Attack Success Rate (in Raids) +%d	0
	31	131	6385	12	241	4	2	0	5000	334	270	300	330	360	410	460	510	570	630	690	800	0	7500	7000	6500	6000	5500	5000	4500	4000	3500	3500	Elemental Attack Success Rate (in PVP) +%d	0
	32	140	6385	12	241	5	1	0	10000	343	150	170	190	210	240	270	300	340	380	420	500	0	7000	6500	6000	5500	5000	4500	4000	3500	3000	3000	Attack Success Rate +%d	0
	33	150	6395	12	251	1	1	0	10000	401	5	6	7	8	9	10	12	14	16	18	20	0	9000	8500	8000	7500	7000	6500	6000	5500	5000	5000	Elemental Defense Success Rate +%d%%	1
	34	160	6395	12	251	2	1	0	2000	411	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Defense Against Fire Element	1
	35	161	6395	12	251	2	2	0	2000	412	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Defense Against Water Element	1
	36	162	6395	12	251	2	3	0	2000	413	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Defense Against Earth Element	1
	37	163	6395	12	251	2	4	0	2000	414	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Defense Against Wind Element	1
	38	164	6395	12	251	2	5	0	2000	415	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Defense Against Dark Element	1
	39	170	6395	12	251	3	1	0	5000	421	10	13	17	22	28	35	43	52	62	73	85	0	8000	7500	7000	6500	6000	5500	5000	4500	4000	4000	Elemental Defense (in PvP) +%d	0
	40	171	6395	12	251	3	2	0	5000	422	10	13	17	22	28	35	43	52	62	73	85	0	8000	7500	7000	6500	6000	5500	5000	4500	4000	4000	Elemental Defense (in Raids) +%d	0
	41	180	6395	12	251	4	1	0	5000	433	270	300	330	360	410	460	510	570	630	690	800	0	7500	7000	6500	6000	5500	5000	4500	4000	3500	3500	Elemental Defense Success Rate (in Raids) +%d	0
	42	181	6395	12	251	4	2	0	5000	434	270	300	330	360	410	460	510	570	630	690	800	0	7500	7000	6500	6000	5500	5000	4500	4000	3500	3500	Elemental Defense Success Rate (in PVP) +%d	0
	43	190	6395	12	251	5	1	0	10000	443	150	170	190	210	240	270	300	340	380	420	500	0	7000	6500	6000	5500	5000	4500	4000	3500	3000	3000	Elemental Defense Success Rate +%d	0
	44	200	6405	12	261	1	1	0	1666	501	33	48	63	78	95	112	129	148	167	186	209	0	9000	8500	8000	7500	7000	6500	6000	5500	5000	5000	Elemental Damage (II) +%d	0
	45	201	6405	12	261	1	2	0	1666	502	13	21	29	37	46	55	64	74	84	94	107	0	9000	8500	8000	7500	7000	6500	6000	5500	5000	5000	Elemental Defense (II) +%d	0
	46	202	6405	12	261	1	3	0	1666	503	150	173	196	219	252	285	318	361	404	447	605	0	9000	8500	8000	7500	7000	6500	6000	5500	5000	5000	Elemental Attack Success Rate (II) +%d	0
	47	203	6405	12	261	1	4	0	1666	504	150	173	196	219	252	285	318	361	404	447	605	0	9000	8500	8000	7500	7000	6500	6000	5500	5000	5000	Elemental Defense Success Rate (II) +%d	0
	48	204	6405	12	261	1	5	0	1668	505	33	52	71	90	120	141	162	191	213	235	261	0	9000	8500	8000	7500	7000	6500	6000	5500	5000	5000	Elemental Damage (III) +%d	0
	49	205	6405	12	261	1	6	0	1668	506	13	23	33	43	54	65	76	90	104	118	135	0	9000	8500	8000	7500	7000	6500	6000	5500	5000	5000	Elemental Defense (III) +%d	0
	50	210	6405	12	261	2	1	0	3333	515	1	2	3	4	5	6	7	8	9	10	11	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	Absorb Shield - 30%% chance to absorb %d%% damage as SD	1
	51	211	6405	12	261	2	2	0	3333	516	1	2	3	4	5	6	7	8	9	10	11	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	Absorb Life - 30%% chance to absorb %d%% damage as Life	1
	52	212	6405	12	261	2	3	0	3334	517	3	4	5	6	8	10	12	15	18	21	25	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	Bastion - Protection is activated for %d sec. by 50%% chance when SD is below 20%%	0
	53	220	6405	12	261	3	1	0	2000	525	100	140	180	220	260	300	340	380	420	460	500	0	8000	7500	7000	6500	6000	5500	5000	4500	4000	4000	Bleeding - A durable effect invoking %d damages to the target with certain chance when attacking	0
	54	221	6405	12	261	3	2	0	2000	526	13	14	15	16	18	20	22	25	28	31	35	0	8000	7500	7000	6500	6000	5500	5000	4500	4000	4000	Paralyzing - Chance to decrease target's Moving Speed and every Healing ability by 90%%.	0
	55	222	6405	12	261	3	3	0	2000	527	13	14	15	16	18	20	22	25	28	31	35	0	8000	7500	7000	6500	6000	5500	5000	4500	4000	4000	Binding - Immobilize the target by holding its leg with certain chance when attacking.	0
	56	223	6405	12	261	3	4	0	2000	528	6	7	8	9	10	11	12	13	14	15	16	0	8000	7500	7000	6500	6000	5500	5000	4500	4000	4000	Punish- 30%% chance to inflict damage (%d%% of target's MAX Life) upon Critical Elemantal Damage.	1
	57	224	6405	12	261	3	5	0	2000	529	50	52	54	56	59	62	65	69	73	77	85	0	8000	7500	7000	6500	6000	5500	5000	4500	4000	4000	Blinding - Chance to greatly decrease target's Attack Success Rate by %d%% when attacking.	1
	58	230	6405	12	261	4	1	0	7000	533	13	14	15	16	18	20	22	25	28	31	35	0	7500	7000	6500	6000	5500	5000	4500	4000	3500	3500	Can use Immune Skill I.	0
	59	231	6405	12	261	4	2	0	3000	534	13	14	15	16	18	20	22	25	28	31	35	0	7500	7000	6500	6000	5500	5000	4500	4000	3500	3500	Can use Immune Skill II.	0
	60	240	6405	12	261	5	1	0	10000	542	13	14	15	16	18	20	22	25	28	31	35	0	7000	6500	6000	5500	5000	4500	4000	3500	3000	3000	Can use Berserker Skill I.	0
